




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (8340)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
regulation of developmental growth (GO:0048638)	320	191	129.58	+	1.47	2.67E-05	1.18E-03
cellular component morphogenesis (GO:0032989)	611	363	247.43	+	1.47	7.73E-09	6.79E-07
brain development (GO:0007420)	759	450	307.36	+	1.46	1.21E-10	1.32E-08
neuron differentiation (GO:0030182)	1043	618	422.37	+	1.46	3.37E-14	5.60E-12
regulation of cell growth (GO:0001558)	422	250	170.89	+	1.46	2.47E-06	1.36E-04
response to endoplasmic reticulum stress (GO:0034976)	260	154	105.29	+	1.46	2.40E-04	8.65E-03
regulation of response to DNA damage stimulus (GO:2001020)	223	132	90.30	+	1.46	6.14E-04	1.97E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	174	119.06	+	1.46	8.83E-05	3.50E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	142	97.19	+	1.46	4.09E-04	1.37E-02
generation of neurons (GO:0048699)	1271	752	514.69	+	1.46	4.55E-17	1.04E-14
head development (GO:0060322)	803	475	325.18	+	1.46	4.50E-11	5.34E-09
positive regulation of growth (GO:0045927)	257	152	104.07	+	1.46	2.74E-04	9.57E-03
positive regulation of protein catabolic process (GO:0045732)	237	140	95.97	+	1.46	4.66E-04	1.55E-02
cell morphogenesis (GO:0000902)	715	421	289.54	+	1.45	1.07E-09	1.06E-07
neuron development (GO:0048666)	846	498	342.59	+	1.45	2.94E-11	3.63E-09
neurogenesis (GO:0022008)	1391	818	563.29	+	1.45	5.05E-18	1.27E-15
central nervous system development (GO:0007417)	1000	587	404.95	+	1.45	5.86E-13	8.66E-11
gland development (GO:0048732)	414	243	167.65	+	1.45	5.52E-06	2.88E-04
protein localization to plasma membrane (GO:0072659)	198	116	80.18	+	1.45	1.72E-03	4.78E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	529	366.89	+	1.44	1.55E-11	1.96E-09
tube morphogenesis (GO:0035239)	654	380	264.84	+	1.43	2.06E-08	1.67E-06
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	147	102.45	+	1.43	5.56E-04	1.80E-02
regulation of growth (GO:0040008)	661	384	267.67	+	1.43	1.96E-08	1.60E-06
tube development (GO:0035295)	856	497	346.64	+	1.43	1.20E-10	1.32E-08
morphogenesis of an epithelium (GO:0002009)	441	256	178.58	+	1.43	5.59E-06	2.91E-04
cell junction assembly (GO:0034329)	276	160	111.77	+	1.43	3.48E-04	1.19E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	195	136.87	+	1.42	9.02E-05	3.56E-03
proteasomal protein catabolic process (GO:0010498)	361	208	146.19	+	1.42	5.64E-05	2.32E-03
response to growth factor (GO:0070848)	526	303	213.01	+	1.42	1.09E-06	6.58E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	434	250	175.75	+	1.42	1.03E-05	5.05E-04
positive regulation of cellular protein localization (GO:1903829)	306	176	123.92	+	1.42	2.52E-04	8.96E-03
pattern specification process (GO:0007389)	426	245	172.51	+	1.42	1.29E-05	6.10E-04
nervous system development (GO:0007399)	2218	1275	898.18	+	1.42	1.26E-25	8.66E-23
regulation of cellular protein catabolic process (GO:1903362)	256	147	103.67	+	1.42	8.68E-04	2.64E-02
cellular response to growth factor stimulus (GO:0071363)	497	285	201.26	+	1.42	3.26E-06	1.78E-04
chromatin organization (GO:0006325)	703	403	284.68	+	1.42	2.62E-08	2.07E-06
blood vessel morphogenesis (GO:0048514)	410	235	166.03	+	1.42	2.36E-05	1.05E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	693	490.80	+	1.41	1.69E-13	2.68E-11
response to decreased oxygen levels (GO:0036293)	361	206	146.19	+	1.41	9.84E-05	3.87E-03
regulation of protein catabolic process (GO:0042176)	398	227	161.17	+	1.41	4.66E-05	1.96E-03
negative regulation of growth (GO:0045926)	249	142	100.83	+	1.41	1.32E-03	3.82E-02
embryonic morphogenesis (GO:0048598)	570	325	230.82	+	1.41	8.63E-07	5.35E-05
vasculature development (GO:0001944)	514	293	208.15	+	1.41	3.16E-06	1.73E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	739	525.22	+	1.41	4.21E-14	6.87E-12
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	740	526.03	+	1.41	4.38E-14	7.06E-12
negative regulation of RNA biosynthetic process (GO:1902679)	1301	741	526.84	+	1.41	3.78E-14	6.23E-12
blood vessel development (GO:0001568)	492	280	199.24	+	1.41	6.16E-06	3.14E-04
heart morphogenesis (GO:0003007)	241	137	97.59	+	1.40	1.65E-03	4.59E-02
response to hypoxia (GO:0001666)	347	197	140.52	+	1.40	1.87E-04	6.91E-03
negative regulation of RNA metabolic process (GO:0051253)	1408	799	570.17	+	1.40	6.54E-15	1.15E-12
embryo development (GO:0009790)	991	562	401.31	+	1.40	1.22E-10	1.33E-08
sensory organ morphogenesis (GO:0090596)	261	148	105.69	+	1.40	1.16E-03	3.40E-02
response to oxygen levels (GO:0070482)	388	220	157.12	+	1.40	7.96E-05	3.19E-03
negative regulation of protein phosphorylation (GO:0001933)	353	200	142.95	+	1.40	1.75E-04	6.49E-03
regulation of mitotic cell cycle (GO:0007346)	588	333	238.11	+	1.40	1.01E-06	6.14E-05
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	872	623.63	+	1.40	3.94E-16	8.20E-14
angiogenesis (GO:0001525)	318	180	128.77	+	1.40	3.85E-04	1.31E-02
enzyme linked receptor protein signaling pathway (GO:0007167)	723	409	292.78	+	1.40	6.61E-08	4.79E-06
behavior (GO:0007610)	557	315	225.56	+	1.40	2.38E-06	1.32E-04
embryonic organ development (GO:0048568)	435	246	176.15	+	1.40	3.17E-05	1.38E-03
small GTPase mediated signal transduction (GO:0007264)	262	148	106.10	+	1.39	1.42E-03	4.02E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	875	628.08	+	1.39	6.93E-16	1.32E-13
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	862	618.77	+	1.39	1.16E-15	2.17E-13
negative regulation of cellular biosynthetic process (GO:0031327)	1610	908	651.97	+	1.39	2.12E-16	4.59E-14
regulation of neuron death (GO:1901214)	316	178	127.97	+	1.39	5.31E-04	1.74E-02
learning or memory (GO:0007611)	256	144	103.67	+	1.39	1.82E-03	4.96E-02
negative regulation of cell differentiation (GO:0045596)	644	362	260.79	+	1.39	5.61E-07	3.59E-05
regulation of autophagy (GO:0010506)	331	186	134.04	+	1.39	4.08E-04	1.38E-02
negative regulation of biosynthetic process (GO:0009890)	1643	923	665.34	+	1.39	2.17E-16	4.63E-14
tissue morphogenesis (GO:0048729)	545	306	220.70	+	1.39	4.70E-06	2.47E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	293	211.39	+	1.39	8.90E-06	4.37E-04
activation of protein kinase activity (GO:0032147)	328	184	132.82	+	1.39	4.62E-04	1.54E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	913	659.26	+	1.38	4.99E-16	1.01E-13
positive regulation of transcription, DNA-templated (GO:0045893)	1628	913	659.26	+	1.38	4.99E-16	9.98E-14
negative regulation of kinase activity (GO:0033673)	264	148	106.91	+	1.38	1.76E-03	4.86E-02
positive regulation of RNA biosynthetic process (GO:1902680)	1629	913	659.67	+	1.38	5.09E-16	1.01E-13
cell projection organization (GO:0030030)	1221	684	494.45	+	1.38	4.44E-12	5.85E-10
in utero embryonic development (GO:0001701)	366	205	148.21	+	1.38	2.22E-04	8.02E-03
negative regulation of phosphorylation (GO:0042326)	395	221	159.96	+	1.38	1.29E-04	4.98E-03
plasma membrane bounded cell projection organization (GO:0120036)	1175	657	475.82	+	1.38	1.70E-11	2.13E-09
regulation of DNA metabolic process (GO:0051052)	372	208	150.64	+	1.38	2.07E-04	7.56E-03
regulation of binding (GO:0051098)	365	204	147.81	+	1.38	2.59E-04	9.13E-03
positive regulation of RNA metabolic process (GO:0051254)	1773	990	717.98	+	1.38	5.01E-17	1.12E-14
negative regulation of cell communication (GO:0010648)	1401	782	567.34	+	1.38	1.81E-13	2.81E-11
negative regulation of signaling (GO:0023057)	1405	784	568.96	+	1.38	1.93E-13	2.97E-11
regulation of cellular protein localization (GO:1903827)	561	313	227.18	+	1.38	6.13E-06	3.15E-04
chordate embryonic development (GO:0043009)	613	342	248.24	+	1.38	2.22E-06	1.26E-04
negative regulation of signal transduction (GO:0009968)	1305	728	528.46	+	1.38	1.52E-12	2.18E-10
ubiquitin-dependent protein catabolic process (GO:0006511)	545	304	220.70	+	1.38	7.87E-06	3.91E-04
circulatory system development (GO:0072359)	877	489	355.14	+	1.38	1.17E-08	9.93E-07
regulation of anatomical structure morphogenesis (GO:0022603)	967	539	391.59	+	1.38	1.95E-09	1.85E-07
positive regulation of catabolic process (GO:0009896)	519	289	210.17	+	1.38	1.43E-05	6.70E-04
regulation of cellular component organization (GO:0051128)	2390	1330	967.84	+	1.37	1.01E-22	3.97E-20
regulation of cellular component biogenesis (GO:0044087)	974	542	394.42	+	1.37	2.19E-09	2.06E-07
modification-dependent protein catabolic process (GO:0019941)	552	307	223.53	+	1.37	8.82E-06	4.34E-04
modification-dependent macromolecule catabolic process (GO:0043632)	563	313	227.99	+	1.37	7.52E-06	3.76E-04
camera-type eye development (GO:0043010)	317	176	128.37	+	1.37	9.13E-04	2.75E-02
heart development (GO:0007507)	535	297	216.65	+	1.37	1.32E-05	6.23E-04
transcription by RNA polymerase II (GO:0006366)	382	212	154.69	+	1.37	2.46E-04	8.82E-03
regulation of supramolecular fiber organization (GO:1902903)	382	212	154.69	+	1.37	2.46E-04	8.80E-03
regulation of cellular catabolic process (GO:0031329)	899	498	364.05	+	1.37	1.68E-08	1.39E-06
skeletal system development (GO:0001501)	479	265	193.97	+	1.37	4.79E-05	2.01E-03
regulation of cytoskeleton organization (GO:0051493)	526	291	213.01	+	1.37	2.24E-05	1.00E-03
sensory organ development (GO:0007423)	555	307	224.75	+	1.37	1.30E-05	6.14E-04
peptidyl-amino acid modification (GO:0018193)	886	490	358.79	+	1.37	2.27E-08	1.81E-06
embryo development ending in birth or egg hatching (GO:0009792)	633	350	256.34	+	1.37	3.07E-06	1.69E-04
negative regulation of cell cycle (GO:0045786)	454	251	183.85	+	1.37	8.77E-05	3.49E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1073	786.01	+	1.37	1.67E-17	4.00E-15
regulation of cellular component size (GO:0032535)	389	215	157.53	+	1.36	2.75E-04	9.60E-03
regulation of protein localization (GO:0032880)	894	494	362.03	+	1.36	2.18E-08	1.75E-06
embryonic organ morphogenesis (GO:0048562)	295	163	119.46	+	1.36	1.50E-03	4.26E-02
regulation of catabolic process (GO:0009894)	1066	589	431.68	+	1.36	8.67E-10	8.68E-08
negative regulation of transferase activity (GO:0051348)	306	169	123.92	+	1.36	1.28E-03	3.70E-02
negative regulation of intracellular signal transduction (GO:1902532)	507	280	205.31	+	1.36	3.23E-05	1.40E-03
regulation of actin filament-based process (GO:0032970)	397	219	160.77	+	1.36	2.64E-04	9.26E-03
animal organ morphogenesis (GO:0009887)	956	527	387.13	+	1.36	8.98E-09	7.80E-07
negative regulation of protein modification process (GO:0031400)	558	307	225.96	+	1.36	1.61E-05	7.42E-04
autophagy (GO:0006914)	309	170	125.13	+	1.36	1.58E-03	4.45E-02
process utilizing autophagic mechanism (GO:0061919)	309	170	125.13	+	1.36	1.58E-03	4.44E-02
negative regulation of developmental process (GO:0051093)	879	483	355.95	+	1.36	5.53E-08	4.07E-06
regulation of membrane potential (GO:0042391)	437	240	176.96	+	1.36	1.55E-04	5.79E-03
positive regulation of cell differentiation (GO:0045597)	840	461	340.16	+	1.36	1.35E-07	9.52E-06
anatomical structure morphogenesis (GO:0009653)	2158	1184	873.89	+	1.35	1.28E-18	3.26E-16
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	334	246.62	+	1.35	7.99E-06	3.96E-04
positive regulation of transferase activity (GO:0051347)	693	380	280.63	+	1.35	2.05E-06	1.17E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	883	484	357.57	+	1.35	6.91E-08	4.99E-06
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	1021	754.43	+	1.35	6.83E-16	1.32E-13
regulation of cell cycle phase transition (GO:1901987)	522	286	211.39	+	1.35	4.08E-05	1.75E-03
regulation of actin cytoskeleton organization (GO:0032956)	358	196	144.97	+	1.35	7.58E-04	2.37E-02
cellular protein catabolic process (GO:0044257)	644	352	260.79	+	1.35	5.94E-06	3.08E-04
cell division (GO:0051301)	498	272	201.67	+	1.35	7.56E-05	3.07E-03
nucleic acid-templated transcription (GO:0097659)	531	290	215.03	+	1.35	4.65E-05	1.97E-03
positive regulation of protein kinase activity (GO:0045860)	539	294	218.27	+	1.35	4.45E-05	1.90E-03
transcription, DNA-templated (GO:0006351)	530	289	214.62	+	1.35	4.61E-05	1.95E-03
mitotic cell cycle process (GO:1903047)	675	368	273.34	+	1.35	4.17E-06	2.22E-04
regulation of transferase activity (GO:0051338)	1033	563	418.32	+	1.35	8.86E-09	7.74E-07
regulation of cellular response to stress (GO:0080135)	692	377	280.23	+	1.35	3.29E-06	1.79E-04
cellular macromolecule localization (GO:0070727)	1480	806	599.33	+	1.34	3.89E-12	5.25E-10
positive regulation of developmental process (GO:0051094)	1271	692	514.69	+	1.34	1.71E-10	1.85E-08
positive regulation of cellular component organization (GO:0051130)	1161	632	470.15	+	1.34	1.11E-09	1.10E-07
regulation of cell differentiation (GO:0045595)	1586	863	642.25	+	1.34	6.31E-13	9.24E-11
eye development (GO:0001654)	364	198	147.40	+	1.34	9.75E-04	2.91E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1698	1264.67	+	1.34	4.00E-26	3.01E-23
negative regulation of cell cycle process (GO:0010948)	368	200	149.02	+	1.34	8.80E-04	2.67E-02
regulation of small GTPase mediated signal transduction (GO:0051056)	348	189	140.92	+	1.34	1.25E-03	3.65E-02
protein phosphorylation (GO:0006468)	685	372	277.39	+	1.34	4.81E-06	2.52E-04
cellular protein localization (GO:0034613)	1470	798	595.28	+	1.34	7.68E-12	1.00E-09
positive regulation of kinase activity (GO:0033674)	614	333	248.64	+	1.34	1.64E-05	7.54E-04
positive regulation of cellular catabolic process (GO:0031331)	450	244	182.23	+	1.34	2.59E-04	9.13E-03
regulation of kinase activity (GO:0043549)	914	495	370.13	+	1.34	1.48E-07	1.03E-05
regulation of vesicle-mediated transport (GO:0060627)	530	287	214.62	+	1.34	7.42E-05	3.03E-03
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1065	797.35	+	1.34	2.11E-15	3.87E-13
regulation of developmental process (GO:0050793)	2461	1330	996.59	+	1.33	2.77E-19	7.55E-17
chromosome organization (GO:0051276)	1064	575	430.87	+	1.33	1.59E-08	1.33E-06
regulation of protein kinase activity (GO:0045859)	802	433	324.77	+	1.33	1.20E-06	7.12E-05
regulation of organelle organization (GO:0033043)	1208	652	489.18	+	1.33	1.78E-09	1.71E-07
RNA biosynthetic process (GO:0032774)	543	293	219.89	+	1.33	7.58E-05	3.06E-03
